game_id,year_id,comp_id,phase_id,part_id,team_id,opp_team_id,opp_comp_id,opp_phase_id,team_game_num_season,home_away_neutral,win,loss,tie,pts,opp_pts,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,last_modified
201410280LAL,2015,NBA,REG,NULL,HOU,LAL,NBA,REG,1,a,1,0,0,108,90,240,31,73,12,29,34,50,14,47,22,7,3,13,30,28,79,3,10,31,39,11,36,16,7,3,11,32,"2022-08-03 08:56:59"
201410280LAL,2015,NBA,REG,NULL,LAL,HOU,NBA,REG,1,h,0,1,0,90,108,240,28,79,3,10,31,39,11,36,16,7,3,11,32,31,73,12,29,34,50,14,47,22,7,3,13,30,"2022-08-03 08:56:59"
201410280NOP,2015,NBA,REG,NULL,NOH,ORL,NBA,REG,1,h,1,0,0,101,84,240,41,101,4,17,15,31,26,62,20,10,17,9,17,32,84,4,11,16,21,16,56,17,5,9,18,25,"2022-08-03 08:56:59"
201410280NOP,2015,NBA,REG,NULL,ORL,NOH,NBA,REG,1,a,0,1,0,84,101,240,32,84,4,11,16,21,16,56,17,5,9,18,25,41,101,4,17,15,31,26,62,20,10,17,9,17,"2022-08-03 08:56:59"
201410280SAS,2015,NBA,REG,NULL,DAL,SAS,NBA,REG,1,a,0,1,0,100,101,240,38,78,8,21,16,19,9,33,17,9,3,10,20,37,70,14,28,13,16,9,38,23,5,3,20,20,"2022-08-03 08:56:59"
201410280SAS,2015,NBA,REG,NULL,SAS,DAL,NBA,REG,1,h,1,0,0,101,100,240,37,70,14,28,13,16,9,38,23,5,3,20,20,38,78,8,21,16,19,9,33,17,9,3,10,20,"2022-08-03 08:56:59"
201410290BOS,2015,NBA,REG,NULL,BOS,NJN,NBA,REG,1,h,1,0,0,121,105,240,49,88,8,22,15,23,9,35,28,11,5,12,25,39,80,7,19,20,26,9,39,20,6,7,20,21,"2022-08-03 08:56:59"
201410290BOS,2015,NBA,REG,NULL,NJN,BOS,NBA,REG,1,a,0,1,0,105,121,240,39,80,7,19,20,26,9,39,20,6,7,20,21,49,88,8,22,15,23,9,35,28,11,5,12,25,"2022-08-03 08:56:59"
201410290CHO,2015,NBA,REG,NULL,CHA,MIL,NBA,REG,1,h,1,0,0,108,106,265,41,101,6,21,20,29,15,50,27,8,9,10,20,39,80,7,14,21,24,3,35,25,9,10,14,25,"2022-08-03 08:56:59"
201410290CHO,2015,NBA,REG,NULL,MIL,CHA,NBA,REG,1,a,0,1,0,106,108,265,39,80,7,14,21,24,3,35,25,9,10,14,25,41,101,6,21,20,29,15,50,27,8,9,10,20,"2022-08-03 08:56:59"
201410290DEN,2015,NBA,REG,NULL,DEN,DET,NBA,REG,1,h,1,0,0,89,79,240,30,85,6,24,23,31,14,51,17,7,4,15,21,31,84,6,26,11,19,8,45,15,4,5,15,27,"2022-08-03 08:56:59"
201410290DEN,2015,NBA,REG,NULL,DET,DEN,NBA,REG,1,a,0,1,0,79,89,240,31,84,6,26,11,19,8,45,15,4,5,15,27,30,85,6,24,23,31,14,51,17,7,4,15,21,"2022-08-03 08:56:59"
201410290IND,2015,NBA,REG,NULL,IND,PHI,NBA,REG,1,h,1,0,0,103,91,240,38,81,8,25,19,28,14,50,22,5,13,17,24,34,89,6,21,17,30,15,42,17,10,5,11,29,"2022-08-03 08:56:59"
201410290IND,2015,NBA,REG,NULL,PHI,IND,NBA,REG,1,a,0,1,0,91,103,240,34,89,6,21,17,30,15,42,17,10,5,11,29,38,81,8,25,19,28,14,50,22,5,13,17,24,"2022-08-03 08:56:59"
201410290MEM,2015,NBA,REG,NULL,MEM,MIN,NBA,REG,1,h,1,0,0,105,101,240,43,82,4,15,15,20,10,33,21,10,5,17,21,39,86,6,12,17,23,19,47,20,8,4,23,21,"2022-08-03 08:56:59"
201410290MEM,2015,NBA,REG,NULL,MIN,MEM,NBA,REG,1,a,0,1,0,101,105,240,39,86,6,12,17,23,19,47,20,8,4,23,21,43,82,4,15,15,20,10,33,21,10,5,17,21,"2022-08-03 08:56:59"
201410290MIA,2015,NBA,REG,NULL,MIA,WAS,NBA,REG,1,h,1,0,0,107,95,240,39,81,9,28,20,23,12,44,20,9,3,14,17,36,75,6,19,17,24,7,36,20,7,2,14,20,"2022-08-03 08:56:59"
201410290MIA,2015,NBA,REG,NULL,WAS,MIA,NBA,REG,1,a,0,1,0,95,107,240,36,75,6,19,17,24,7,36,20,7,2,14,20,39,81,9,28,20,23,12,44,20,9,3,14,17,"2022-08-03 08:56:59"
201410290NYK,2015,NBA,REG,NULL,CHI,NYK,NBA,REG,1,a,1,0,0,104,80,240,36,71,7,24,25,30,10,47,21,9,4,15,18,31,85,3,17,15,17,14,38,19,9,5,11,22,"2022-08-03 08:56:59"
201410290NYK,2015,NBA,REG,NULL,NYK,CHI,NBA,REG,1,h,0,1,0,80,104,240,31,85,3,17,15,17,14,38,19,9,5,11,22,36,71,7,24,25,30,10,47,21,9,4,15,18,"2022-08-03 08:56:59"
201410290PHO,2015,NBA,REG,NULL,LAL,PHO,NBA,REG,2,a,0,1,0,99,119,240,37,86,4,13,21,25,12,38,20,9,3,13,18,45,82,16,32,13,18,9,40,23,5,3,14,25,"2022-08-03 08:56:59"
201410290PHO,2015,NBA,REG,NULL,PHO,LAL,NBA,REG,1,h,1,0,0,119,99,240,45,82,16,32,13,18,9,40,23,5,3,14,25,37,86,4,13,21,25,12,38,20,9,3,13,18,"2022-08-03 08:56:59"
201410290POR,2015,NBA,REG,NULL,OKC,POR,NBA,REG,1,a,0,1,0,89,106,240,33,81,2,16,21,26,14,43,19,9,5,13,28,39,87,11,29,17,22,13,42,23,4,9,10,19,"2022-08-03 08:56:59"
201410290POR,2015,NBA,REG,NULL,POR,OKC,NBA,REG,1,h,1,0,0,106,89,240,39,87,11,29,17,22,13,42,23,4,9,10,19,33,81,2,16,21,26,14,43,19,9,5,13,28,"2022-08-03 08:56:59"
201410290SAC,2015,NBA,REG,NULL,GSW,SAC,NBA,REG,1,a,1,0,0,95,77,240,33,75,6,27,23,32,7,44,21,12,8,22,32,24,78,3,18,26,35,15,50,13,11,3,26,26,"2022-08-03 08:56:59"
201410290SAC,2015,NBA,REG,NULL,SAC,GSW,NBA,REG,1,h,0,1,0,77,95,240,24,78,3,18,26,35,15,50,13,11,3,26,26,33,75,6,27,23,32,7,44,21,12,8,22,32,"2022-08-03 08:56:59"
201410290TOR,2015,NBA,REG,NULL,ATL,TOR,NBA,REG,1,a,0,1,0,102,109,240,40,80,13,22,9,17,10,42,26,6,8,17,24,37,90,8,26,27,33,16,48,26,13,9,9,22,"2022-08-03 08:56:59"
201410290TOR,2015,NBA,REG,NULL,TOR,ATL,NBA,REG,1,h,1,0,0,109,102,240,37,90,8,26,27,33,16,48,26,13,9,9,22,40,80,13,22,9,17,10,42,26,6,8,17,24,"2022-08-03 08:56:59"
201410290UTA,2015,NBA,REG,NULL,HOU,UTA,NBA,REG,2,a,1,0,0,104,93,240,40,77,14,27,10,14,8,35,18,7,6,18,23,38,81,3,18,14,17,13,34,16,8,6,13,16,"2022-08-03 08:56:59"
201410290UTA,2015,NBA,REG,NULL,UTA,HOU,NBA,REG,1,h,0,1,0,93,104,240,38,81,3,18,14,17,13,34,16,8,6,13,16,40,77,14,27,10,14,8,35,18,7,6,18,23,"2022-08-03 08:56:59"
201410300CLE,2015,NBA,REG,NULL,CLE,NYK,NBA,REG,1,h,0,1,0,90,95,240,32,70,9,24,17,20,11,33,22,5,2,19,15,37,69,6,12,15,18,9,35,30,9,1,15,26,"2022-08-03 08:56:59"
201410300CLE,2015,NBA,REG,NULL,NYK,CLE,NBA,REG,2,a,1,0,0,95,90,240,37,69,6,12,15,18,9,35,30,9,1,15,26,32,70,9,24,17,20,11,33,22,5,2,19,15,"2022-08-03 08:56:59"
201410300DAL,2015,NBA,REG,NULL,DAL,UTA,NBA,REG,2,h,1,0,0,120,102,240,47,85,8,21,18,23,13,44,25,8,5,9,15,36,83,14,35,16,18,15,40,22,6,0,16,21,"2022-08-03 08:56:59"
201410300DAL,2015,NBA,REG,NULL,UTA,DAL,NBA,REG,2,a,0,1,0,102,120,240,36,83,14,35,16,18,15,40,22,6,0,16,21,47,85,8,21,18,23,13,44,25,8,5,9,15,"2022-08-03 08:56:59"
201410300LAC,2015,NBA,REG,NULL,LAC,OKC,NBA,REG,1,h,1,0,0,93,90,240,34,87,7,30,18,25,14,33,17,10,4,11,27,28,65,6,21,28,34,8,47,23,5,2,22,27,"2022-08-03 08:56:59"
201410300LAC,2015,NBA,REG,NULL,OKC,LAC,NBA,REG,2,a,0,1,0,90,93,240,28,65,6,21,28,34,8,47,23,5,2,22,27,34,87,7,30,18,25,14,33,17,10,4,11,27,"2022-08-03 08:56:59"
201410300MIN,2015,NBA,REG,NULL,DET,MIN,NBA,REG,2,a,0,1,0,91,97,240,38,91,7,21,8,13,14,46,20,3,5,12,24,37,76,4,10,19,28,10,43,18,8,3,12,21,"2022-08-03 08:56:59"
201410300MIN,2015,NBA,REG,NULL,MIN,DET,NBA,REG,2,h,1,0,0,97,91,240,37,76,4,10,19,28,10,43,18,8,3,12,21,38,91,7,21,8,13,14,46,20,3,5,12,24,"2022-08-03 08:56:59"
201410300ORL,2015,NBA,REG,NULL,ORL,WAS,NBA,REG,2,h,0,1,0,98,105,240,37,72,6,15,18,24,3,33,20,4,1,18,23,39,80,7,13,20,26,6,37,22,10,0,12,25,"2022-08-03 08:56:59"
201410300ORL,2015,NBA,REG,NULL,WAS,ORL,NBA,REG,2,a,1,0,0,105,98,240,39,80,7,13,20,26,6,37,22,10,0,12,25,37,72,6,15,18,24,3,33,20,4,1,18,23,"2022-08-03 08:56:59"
201410310CHI,2015,NBA,REG,NULL,CHI,CLE,NBA,REG,2,h,0,1,0,108,114,265,41,90,13,31,13,17,11,42,25,4,14,19,28,41,104,3,15,29,33,20,52,18,8,4,9,18,"2022-08-03 08:56:59"
201410310CHI,2015,NBA,REG,NULL,CLE,CHI,NBA,REG,2,a,1,0,0,114,108,265,41,104,3,15,29,33,20,52,18,8,4,9,18,41,90,13,31,13,17,11,42,25,4,14,19,28,"2022-08-03 08:56:59"
201410310IND,2015,NBA,REG,NULL,IND,MEM,NBA,REG,2,h,0,1,0,89,97,240,34,74,8,21,13,16,11,46,19,5,3,18,15,35,79,7,19,20,27,11,40,20,11,2,9,21,"2022-08-03 08:56:59"
201410310IND,2015,NBA,REG,NULL,MEM,IND,NBA,REG,2,a,1,0,0,97,89,240,35,79,7,19,20,27,11,40,20,11,2,9,21,34,74,8,21,13,16,11,46,19,5,3,18,15,"2022-08-03 08:56:59"
201410310LAL,2015,NBA,REG,NULL,LAC,LAL,NBA,REG,2,a,1,0,0,118,111,240,34,71,12,33,38,44,6,36,25,6,2,14,26,42,82,7,20,20,28,9,40,24,5,2,14,35,"2022-08-03 08:56:59"
201410310LAL,2015,NBA,REG,NULL,LAL,LAC,NBA,REG,3,h,0,1,0,111,118,240,42,82,7,20,20,28,9,40,24,5,2,14,35,34,71,12,33,38,44,6,36,25,6,2,14,26,"2022-08-03 08:56:59"
201410310MIL,2015,NBA,REG,NULL,MIL,PHI,NBA,REG,2,h,1,0,0,93,81,240,36,88,9,24,12,21,15,55,25,10,11,18,19,32,86,5,23,12,22,12,42,20,9,5,16,18,"2022-08-03 08:56:59"
201410310MIL,2015,NBA,REG,NULL,PHI,MIL,NBA,REG,2,a,0,1,0,81,93,240,32,86,5,23,12,22,12,42,20,9,5,16,18,36,88,9,24,12,21,15,55,25,10,11,18,19,"2022-08-03 08:56:59"
201410310PHO,2015,NBA,REG,NULL,PHO,SAS,NBA,REG,2,h,1,0,0,94,89,240,35,87,2,18,22,26,12,50,15,2,5,7,21,32,78,8,25,17,23,5,45,20,3,3,12,25,"2022-08-03 08:56:59"
201410310PHO,2015,NBA,REG,NULL,SAS,PHO,NBA,REG,2,a,0,1,0,89,94,240,32,78,8,25,17,23,5,45,20,3,3,12,25,35,87,2,18,22,26,12,50,15,2,5,7,21,"2022-08-03 08:56:59"
201410310SAC,2015,NBA,REG,NULL,POR,SAC,NBA,REG,2,a,0,1,0,94,103,240,34,83,9,26,17,19,10,38,20,5,8,10,26,34,81,4,10,31,35,14,49,14,6,2,10,24,"2022-08-03 08:56:59"
201410310SAC,2015,NBA,REG,NULL,SAC,POR,NBA,REG,2,h,1,0,0,103,94,240,34,81,4,10,31,35,14,49,14,6,2,10,24,34,83,9,26,17,19,10,38,20,5,8,10,26,"2022-08-03 08:56:59"
201411010ATL,2015,NBA,REG,NULL,ATL,IND,NBA,REG,2,h,1,0,0,102,92,240,35,69,7,20,25,33,3,37,26,10,6,12,20,31,81,12,32,18,21,11,44,25,5,5,18,26,"2022-08-03 08:56:59"
201411010ATL,2015,NBA,REG,NULL,IND,ATL,NBA,REG,3,a,0,1,0,92,102,240,31,81,12,32,18,21,11,44,25,5,5,18,26,35,69,7,20,25,33,3,37,26,10,6,12,20,"2022-08-03 08:56:59"
201411010CHO,2015,NBA,REG,NULL,CHA,MEM,NBA,REG,2,h,0,1,0,69,71,240,26,72,4,14,13,18,5,44,17,10,4,20,16,29,80,3,11,10,13,9,45,16,8,0,18,22,"2022-08-03 08:56:59"
201411010CHO,2015,NBA,REG,NULL,MEM,CHA,NBA,REG,3,a,1,0,0,71,69,240,29,80,3,11,10,13,9,45,16,8,0,18,22,26,72,4,14,13,18,5,44,17,10,4,20,16,"2022-08-03 08:56:59"
201411010DET,2015,NBA,REG,NULL,DET,NJN,NBA,REG,3,h,0,1,0,90,102,240,32,76,1,17,25,35,10,41,21,3,3,7,15,42,87,7,26,11,13,12,48,18,3,3,8,23,"2022-08-03 08:56:59"
201411010DET,2015,NBA,REG,NULL,NJN,DET,NBA,REG,2,a,1,0,0,102,90,240,42,87,7,26,11,13,12,48,18,3,3,8,23,32,76,1,17,25,35,10,41,21,3,3,7,15,"2022-08-03 08:56:59"
201411010GSW,2015,NBA,REG,NULL,GSW,LAL,NBA,REG,2,h,1,0,0,127,104,240,46,83,11,23,24,28,12,43,30,10,4,20,26,41,88,4,14,18,25,17,37,21,9,3,22,27,"2022-08-03 08:56:59"
201411010GSW,2015,NBA,REG,NULL,LAL,GSW,NBA,REG,4,a,0,1,0,104,127,240,41,88,4,14,18,25,17,37,21,9,3,22,27,46,83,11,23,24,28,12,43,30,10,4,20,26,"2022-08-03 08:56:59"
201411010HOU,2015,NBA,REG,NULL,BOS,HOU,NBA,REG,2,a,0,1,0,90,104,240,37,98,1,25,15,18,14,44,20,10,8,10,26,32,76,12,34,28,40,10,49,20,9,8,17,24,"2022-08-03 08:56:59"
201411010HOU,2015,NBA,REG,NULL,HOU,BOS,NBA,REG,3,h,1,0,0,104,90,240,32,76,12,34,28,40,10,49,20,9,8,17,24,37,98,1,25,15,18,14,44,20,10,8,10,26,"2022-08-03 08:56:59"
201411010MIN,2015,NBA,REG,NULL,CHI,MIN,NBA,REG,3,a,1,0,0,106,105,240,33,69,9,23,31,40,5,38,15,3,8,14,24,38,85,4,12,25,31,13,42,26,9,4,10,29,"2022-08-03 08:56:59"
201411010MIN,2015,NBA,REG,NULL,MIN,CHI,NBA,REG,3,h,0,1,0,105,106,240,38,85,4,12,25,31,13,42,26,9,4,10,29,33,69,9,23,31,40,5,38,15,3,8,14,24,"2022-08-03 08:56:59"
201411010NOP,2015,NBA,REG,NULL,DAL,NOH,NBA,REG,3,a,1,0,0,109,104,240,46,89,6,25,11,19,11,44,25,4,6,12,25,38,89,7,19,21,28,14,47,24,8,4,13,19,"2022-08-03 08:56:59"
201411010NOP,2015,NBA,REG,NULL,NOH,DAL,NBA,REG,2,h,0,1,0,104,109,240,38,89,7,19,21,28,14,47,24,8,4,13,19,46,89,6,25,11,19,11,44,25,4,6,12,25,"2022-08-03 08:56:59"
201411010OKC,2015,NBA,REG,NULL,DEN,OKC,NBA,REG,2,a,0,1,0,91,102,240,35,80,7,26,14,20,11,41,19,4,10,17,26,37,80,6,20,22,31,6,41,24,8,6,13,20,"2022-08-03 08:56:59"
201411010OKC,2015,NBA,REG,NULL,OKC,DEN,NBA,REG,3,h,1,0,0,102,91,240,37,80,6,20,22,31,6,41,24,8,6,13,20,35,80,7,26,14,20,11,41,19,4,10,17,26,"2022-08-03 08:56:59"
201411010ORL,2015,NBA,REG,NULL,ORL,TOR,NBA,REG,3,h,0,1,0,95,108,240,38,81,7,20,12,24,9,40,25,3,7,14,37,33,83,4,21,38,48,15,50,13,4,4,7,21,"2022-08-03 08:56:59"
201411010ORL,2015,NBA,REG,NULL,TOR,ORL,NBA,REG,2,a,1,0,0,108,95,240,33,83,4,21,38,48,15,50,13,4,4,7,21,38,81,7,20,12,24,9,40,25,3,7,14,37,"2022-08-03 08:56:59"
201411010PHI,2015,NBA,REG,NULL,MIA,PHI,NBA,REG,2,a,1,0,0,114,96,240,41,83,12,24,20,29,9,35,33,16,0,16,20,35,67,7,23,19,26,4,37,28,9,10,24,21,"2022-08-03 08:56:59"
201411010PHI,2015,NBA,REG,NULL,PHI,MIA,NBA,REG,3,h,0,1,0,96,114,240,35,67,7,23,19,26,4,37,28,9,10,24,21,41,83,12,24,20,29,9,35,33,16,0,16,20,"2022-08-03 08:56:59"
201411010UTA,2015,NBA,REG,NULL,PHO,UTA,NBA,REG,3,a,0,1,0,91,118,240,36,87,7,31,12,15,6,34,17,8,7,11,22,42,88,7,26,27,33,13,52,19,10,6,13,15,"2022-08-03 08:56:59"
201411010UTA,2015,NBA,REG,NULL,UTA,PHO,NBA,REG,3,h,1,0,0,118,91,240,42,88,7,26,27,33,13,52,19,10,6,13,15,36,87,7,31,12,15,6,34,17,8,7,11,22,"2022-08-03 08:56:59"
201411010WAS,2015,NBA,REG,NULL,MIL,WAS,NBA,REG,3,a,0,1,0,97,108,240,34,80,9,22,20,24,16,42,18,11,3,27,28,40,73,4,13,24,33,6,34,28,18,5,19,21,"2022-08-03 08:56:59"
201411010WAS,2015,NBA,REG,NULL,WAS,MIL,NBA,REG,3,h,1,0,0,108,97,240,40,73,4,13,24,33,6,34,28,18,5,19,21,34,80,9,22,20,24,16,42,18,11,3,27,28,"2022-08-03 08:56:59"
201411020LAC,2015,NBA,REG,NULL,LAC,SAC,NBA,REG,3,h,0,1,0,92,98,240,33,88,9,31,17,21,11,35,23,10,7,8,25,34,68,3,10,27,33,9,46,21,4,11,19,22,"2022-08-03 08:56:59"
201411020LAC,2015,NBA,REG,NULL,SAC,LAC,NBA,REG,3,a,1,0,0,98,92,240,34,68,3,10,27,33,9,46,21,4,11,19,22,33,88,9,31,17,21,11,35,23,10,7,8,25,"2022-08-03 08:56:59"
201411020MIA,2015,NBA,REG,NULL,MIA,TOR,NBA,REG,3,h,1,0,0,107,102,240,35,70,9,24,28,38,11,43,22,6,6,16,29,37,79,4,16,24,39,9,28,11,8,5,10,28,"2022-08-03 08:56:59"
201411020MIA,2015,NBA,REG,NULL,TOR,MIA,NBA,REG,3,a,0,1,0,102,107,240,37,79,4,16,24,39,9,28,11,8,5,10,28,35,70,9,24,28,38,11,43,22,6,6,16,29,"2022-08-03 08:56:59"
201411020NYK,2015,NBA,REG,NULL,CHA,NYK,NBA,REG,3,a,0,1,0,93,96,240,33,70,6,15,21,29,8,38,20,7,2,12,16,39,78,8,16,10,17,8,35,23,5,0,12,26,"2022-08-03 08:56:59"
201411020NYK,2015,NBA,REG,NULL,NYK,CHA,NBA,REG,3,h,1,0,0,96,93,240,39,78,8,16,10,17,8,35,23,5,0,12,26,33,70,6,15,21,29,8,38,20,7,2,12,16,"2022-08-03 08:56:59"
201411020POR,2015,NBA,REG,NULL,GSW,POR,NBA,REG,3,a,1,0,0,95,90,240,36,81,6,19,17,21,7,41,22,11,7,17,16,37,92,7,27,9,14,17,56,20,9,2,19,19,"2022-08-03 08:56:59"
201411020POR,2015,NBA,REG,NULL,POR,GSW,NBA,REG,3,h,0,1,0,90,95,240,37,92,7,27,9,14,17,56,20,9,2,19,19,36,81,6,19,17,21,7,41,22,11,7,17,16,"2022-08-03 08:56:59"
201411030BRK,2015,NBA,REG,NULL,NJN,OKC,NBA,REG,3,h,1,0,0,116,85,240,44,84,11,23,17,19,9,42,25,11,3,8,21,32,82,8,23,13,21,15,44,14,3,3,17,17,"2022-08-03 08:56:59"
201411030BRK,2015,NBA,REG,NULL,OKC,NJN,NBA,REG,4,a,0,1,0,85,116,240,32,82,8,23,13,21,15,44,14,3,3,17,17,44,84,11,23,17,19,9,42,25,11,3,8,21,"2022-08-03 08:56:59"
201411030DAL,2015,NBA,REG,NULL,BOS,DAL,NBA,REG,3,a,0,1,0,113,118,240,45,102,11,31,12,16,22,49,29,9,6,17,21,44,82,14,25,16,20,7,36,24,5,9,17,17,"2022-08-03 08:56:59"
201411030DAL,2015,NBA,REG,NULL,DAL,BOS,NBA,REG,4,h,1,0,0,118,113,240,44,82,14,25,16,20,7,36,24,5,9,17,17,45,102,11,31,12,16,22,49,29,9,6,17,21,"2022-08-03 08:56:59"
201411030DEN,2015,NBA,REG,NULL,DEN,SAC,NBA,REG,3,h,0,1,0,105,110,240,36,93,5,24,28,33,15,42,22,4,7,15,35,34,81,2,9,40,47,14,50,21,8,5,15,28,"2022-08-03 08:56:59"
201411030DEN,2015,NBA,REG,NULL,SAC,DEN,NBA,REG,4,a,1,0,0,110,105,240,34,81,2,9,40,47,14,50,21,8,5,15,28,36,93,5,24,28,33,15,42,22,4,7,15,35,"2022-08-03 08:56:59"
201411030LAC,2015,NBA,REG,NULL,LAC,UTA,NBA,REG,4,h,1,0,0,107,101,240,41,81,10,23,15,17,5,35,28,6,6,10,17,36,77,10,27,19,24,9,43,24,4,2,17,20,"2022-08-03 08:56:59"
201411030LAC,2015,NBA,REG,NULL,UTA,LAC,NBA,REG,4,a,0,1,0,101,107,240,36,77,10,27,19,24,9,43,24,4,2,17,20,41,81,10,23,15,17,5,35,28,6,6,10,17,"2022-08-03 08:56:59"
201411030MEM,2015,NBA,REG,NULL,MEM,NOH,NBA,REG,4,h,1,0,0,93,81,240,31,76,4,14,27,37,9,52,19,5,6,11,24,29,86,4,24,19,29,14,49,14,5,3,12,30,"2022-08-03 08:56:59"
201411030MEM,2015,NBA,REG,NULL,NOH,MEM,NBA,REG,3,a,0,1,0,81,93,240,29,86,4,24,19,29,14,49,14,5,3,12,30,31,76,4,14,27,37,9,52,19,5,6,11,24,"2022-08-03 08:56:59"
201411030PHI,2015,NBA,REG,NULL,HOU,PHI,NBA,REG,4,a,1,0,0,104,93,240,32,75,16,34,24,30,13,47,27,12,6,21,20,33,74,11,22,16,23,6,31,19,12,4,17,20,"2022-08-03 08:56:59"
201411030PHI,2015,NBA,REG,NULL,PHI,HOU,NBA,REG,4,h,0,1,0,93,104,240,33,74,11,22,16,23,6,31,19,12,4,17,20,32,75,16,34,24,30,13,47,27,12,6,21,20,"2022-08-03 08:56:59"
201411040CHI,2015,NBA,REG,NULL,CHI,ORL,NBA,REG,4,h,1,0,0,98,90,240,35,75,7,15,21,27,10,44,23,6,9,12,18,38,88,6,14,8,14,14,48,21,6,6,11,22,"2022-08-03 08:56:59"
201411040CHI,2015,NBA,REG,NULL,ORL,CHI,NBA,REG,4,a,0,1,0,90,98,240,38,88,6,14,8,14,14,48,21,6,6,11,22,35,75,7,15,21,27,10,44,23,6,9,12,18,"2022-08-03 08:56:59"
201411040IND,2015,NBA,REG,NULL,IND,MIL,NBA,REG,4,h,0,1,0,81,87,240,31,78,6,24,13,22,15,47,14,4,9,17,17,37,83,7,21,6,7,9,39,20,12,5,12,22,"2022-08-03 08:56:59"
201411040IND,2015,NBA,REG,NULL,MIL,IND,NBA,REG,4,a,1,0,0,87,81,240,37,83,7,21,6,7,9,39,20,12,5,12,22,31,78,6,24,13,22,15,47,14,4,9,17,17,"2022-08-03 08:56:59"
201411040LAL,2015,NBA,REG,NULL,LAL,PHO,NBA,REG,5,h,0,1,0,106,112,240,35,88,6,16,30,41,18,49,16,7,8,12,25,41,91,6,18,24,31,13,52,28,6,7,13,29,"2022-08-03 08:56:59"
201411040LAL,2015,NBA,REG,NULL,PHO,LAL,NBA,REG,4,a,1,0,0,112,106,240,41,91,6,18,24,31,13,52,28,6,7,13,29,35,88,6,16,30,41,18,49,16,7,8,12,25,"2022-08-03 08:56:59"
201411040MIA,2015,NBA,REG,NULL,HOU,MIA,NBA,REG,5,a,1,0,0,108,91,240,35,68,17,37,21,27,9,38,22,8,5,16,26,31,74,12,28,17,27,13,34,16,7,2,15,21,"2022-08-03 08:56:59"
201411040MIA,2015,NBA,REG,NULL,MIA,HOU,NBA,REG,4,h,0,1,0,91,108,240,31,74,12,28,17,27,13,34,16,7,2,15,21,35,68,17,37,21,27,9,38,22,8,5,16,26,"2022-08-03 08:56:59"
201411040NOP,2015,NBA,REG,NULL,CHA,NOH,NBA,REG,4,a,0,1,0,91,100,240,37,80,6,21,11,13,6,34,23,6,1,12,15,38,81,5,18,19,19,11,47,26,5,6,12,19,"2022-08-03 08:56:59"
201411040NOP,2015,NBA,REG,NULL,NOH,CHA,NBA,REG,4,h,1,0,0,100,91,240,38,81,5,18,19,19,11,47,26,5,6,12,19,37,80,6,21,11,13,6,34,23,6,1,12,15,"2022-08-03 08:56:59"
201411040NYK,2015,NBA,REG,NULL,NYK,WAS,NBA,REG,4,h,0,1,0,83,98,240,30,81,8,15,15,19,15,43,16,5,4,18,23,39,80,8,18,12,19,10,41,26,8,4,12,25,"2022-08-03 08:56:59"
201411040NYK,2015,NBA,REG,NULL,WAS,NYK,NBA,REG,4,a,1,0,0,98,83,240,39,80,8,18,12,19,10,41,26,8,4,12,25,30,81,8,15,15,19,15,43,16,5,4,18,23,"2022-08-03 08:56:59"
201411040POR,2015,NBA,REG,NULL,CLE,POR,NBA,REG,3,a,0,1,0,82,101,240,31,85,9,21,11,14,13,41,18,5,3,14,19,37,75,8,25,19,25,9,48,21,7,4,11,20,"2022-08-03 08:56:59"
201411040POR,2015,NBA,REG,NULL,POR,CLE,NBA,REG,4,h,1,0,0,101,82,240,37,75,8,25,19,25,9,48,21,7,4,11,20,31,85,9,21,11,14,13,41,18,5,3,14,19,"2022-08-03 08:56:59"
201411040TOR,2015,NBA,REG,NULL,OKC,TOR,NBA,REG,5,a,0,1,0,88,100,240,34,65,6,21,14,25,6,41,23,4,3,19,27,32,81,8,31,28,33,12,39,23,6,3,10,24,"2022-08-03 08:56:59"
201411040TOR,2015,NBA,REG,NULL,TOR,OKC,NBA,REG,4,h,1,0,0,100,88,240,32,81,8,31,28,33,12,39,23,6,3,10,24,34,65,6,21,14,25,6,41,23,4,3,19,27,"2022-08-03 08:56:59"
201411050BOS,2015,NBA,REG,NULL,BOS,TOR,NBA,REG,4,h,0,1,0,107,110,240,40,78,10,26,17,18,17,55,22,5,3,27,25,42,87,7,16,19,23,6,24,18,11,4,7,18,"2022-08-03 08:56:59"
201411050BOS,2015,NBA,REG,NULL,TOR,BOS,NBA,REG,5,a,1,0,0,110,107,240,42,87,7,16,19,23,6,24,18,11,4,7,18,40,78,10,26,17,18,17,55,22,5,3,27,25,"2022-08-03 08:56:59"
201411050BRK,2015,NBA,REG,NULL,MIN,NJN,NBA,REG,4,a,1,0,0,98,91,240,37,90,7,17,17,22,13,51,22,9,4,11,21,36,82,8,21,11,17,7,42,17,6,5,18,22,"2022-08-03 08:56:59"
201411050BRK,2015,NBA,REG,NULL,NJN,MIN,NBA,REG,4,h,0,1,0,91,98,240,36,82,8,21,11,17,7,42,17,6,5,18,22,37,90,7,17,17,22,13,51,22,9,4,11,21,"2022-08-03 08:56:59"
